metric,../../train_test_data/benign_1_min/node-1-child-3/csv files/node1_conn.csv,../../train_test_data/benign_1_min/node-2-child-4/csv files/node2_conn.csv,../../train_test_data/new-benign_10_min/csv/child1/conn.csv,../../train_test_data/new-benign_10_min/csv/child2/conn.csv,../../train_test_data/new-benign_10_min/csv/cam-pod/conn.csv,../../train_test_data/new-benign_10_min/csv/lidar-pod/conn.csv,../../train_test_data/new-benign_10_min/csv/nginx-pod/conn.csv,BENIGN AVGS,STDDEV,,../../train_test_data/lidar-attack/csv/child1/conn.csv,../../train_test_data/lidar-attack/csv/child2/conn.csv,../../train_test_data/lidar-attack/csv/cam-pod/conn.csv,../../train_test_data/lidar-attack/csv/lidar-pod/conn.csv,../../train_test_data/lidar-attack/csv/nginx-pod/conn.csv,../../train_test_data/ddos_sim/csv/conn_malignant1.csv,MALIGNANT AVGS,STDDEV
duration_mean,8.954739332,4.988026108,11.27583456,11.33596854,0.13029075,11.27845438,2.30789895,7.181601802,4.69459732,,7.175184516,6.104843329,1.296976,7.19505241,1.023748352,14.8792307,6.279172551,5.061123001
duration_std,163.4935247,65.17379911,67.0552832,70.43213553,0.367975646,67.06107763,26.03791574,65.66024451,50.71369976,,25.48479603,23.64421259,2.24619104,25.55894045,10.83096889,17.71688956,17.58033309,9.419318676
duration_cv,18.25776481,13.06605012,5.946813325,6.213155524,2.824265313,5.945945724,11.28208656,9.076583055,5.353522745,,3.551796609,3.873025287,1.731867852,3.552293854,10.57971802,1.190712741,4.079902394,3.367739624
duration_median,0.001442,0.006726,0.0113755,0.003511,0.000205,0.011374,0.003778,0.005487357,0.004508383,,0.014088,0.003533,0.00024,0.014058,0.0051685,7.869596,1.317780583,3.209725925
duration_p99,170.1767554,170.4903205,483.6258738,570.4855474,0.96813367,483.6258725,43.98943592,274.7659913,232.6407694,,116.7999988,120.0289247,3.81284572,117.3486039,0.05662253,55.477837,68.92080544,57.29178681
duration_p95,0.0192854,3.07271945,18.1092695,11.24921075,0.67673235,18.1092685,0.0192308,7.32224525,8.336959624,,90.0053605,68.1129885,3.5016126,90.0053596,0.04008855,55.38198,51.17456496,40.51596943
duration_p05,3.30E-05,0.001703,0.00317025,3.20E-05,0.0001248,0.0031685,3.00E-06,0.001176364,0.00149002,,2.80E-05,2.90E-05,5.46E-05,2.80E-05,3.00E-06,4.837192,0.806222433,1.974763721
duration_p01,1.00E-05,1.80E-05,3.57E-05,2.08E-05,0.00011696,3.46E-05,2.00E-06,0.00003401,3.85476E-05,,2.66E-05,1.90E-05,3.81E-05,2.60E-05,2.00E-06,3.669905,0.61166945,1.498223322
bytes_orig_total,1514522886,535633,10747172,17195482,1289418,10820003,50561,222165879.3,569913156.8,,2213511,3704384,0,2239770,9763,8842335396,1475083804,3609201727
bytes_resp_total,9341193,78715521,1735746,12728502,0,1736049,108976,14909426.71,28563984.95,,1004878,1175774,565248,1029836,27504,87746529206,14625055408,35822060012
bytes_ratio,162.1337752,0.006804668,6.191673206,1.350943104,1.28942E+15,6.232544704,0.463964543,1.84203E+14,4.87354E+14,,2.202765908,3.150591865,0,2.174880272,0.35496655,0.100771341,1.330662656,1.343181926
bytes_bidirectional_mean,4.742427428,0.536818474,2.533920077,0.781888725,-1,2.537032978,0.306958164,1.906507641,1.704876785,,16.89067971,0.531445432,-1,16.92485495,0.304214225,360.1942843,78.96909572,157.4257387
bytes_bidirectional_std,115.8014164,0.577304138,8.55785981,1.639976743,-1,8.569068288,0.122458681,22.54468068,45.84778288,,nan,0.833718426,-1,nan,0.133378208,13609.0345,4536.6672,7856.900565
bytes_bidirectional_median,0.19665272,0.201712081,0.032160804,0.040750285,-1,0.032160804,0.36440678,0.144640579,0.134429308,,16.89067971,0.15660835,-1,16.92485495,0.36440678,0.124257557,6.892161471,9.143427778
bytes_bidirectional_p99,4.256840399,3.009568018,27.45708559,3.570539708,-1,27.49269718,0.423076923,11.03496797,12.80017794,,16.89067971,1.72643632,-1,16.92485495,0.423076923,11.91860958,9.576731499,8.03725196
bytes_bidirectional_p95,1.677133655,1.544473506,13.37559835,2.993332446,-1,13.39178543,0.423076923,5.567566718,6.108960011,,16.89067971,1.546399294,-1,16.92485495,0.423076923,2.123979936,7.581798164,8.535354343
bytes_bidirectional_p05,0.058467742,0.088113451,0.001475084,0.013414635,-1,0.001475084,0.083094556,0.041006759,0.04045279,,16.89067971,0.041263483,-1,16.92485495,0.072447086,3.25E-05,6.785855539,9.240042623
bytes_bidirectional_p01,0.040504784,0.00070201,0.000631717,0.008154259,-1,0.000631717,0.058699622,0.018220685,0.025147985,,16.89067971,0.041148256,-1,16.92485495,0.069544365,3.02E-05,6.785251488,9.240591394
bytes_orig_only_mean,1011.885808,4033.491071,43987.83784,55791.85762,1289418,43984.45946,1276.466667,205643.4284,478465.5086,,26834.36667,34515.36792,-1,26937.44828,1539,15472.22008,21059.68059,12857.17076
bytes_orig_only_std,18637.13044,30438.73269,108265.9392,655568.3154,nan,108267.2813,1542.893241,153786.7154,250034.8978,,63093.83902,240544.7394,-1,64206.80067,nan,12829.96835,95168.83687,99835.35694
bytes_orig_only_median,94,692,1704,86,1289418,1704,840,184934,487032.1167,,2571,94,-1,2571,1539,5520,2459,1989.625216
bytes_orig_only_p99,2560,8389.75,419729.28,298428.13,1289418,419729.28,5443.4,349099.6914,456620.8994,,244394.05,1360069.8,-1,244395.6,1539,31608,376401.29,561662.5545
bytes_orig_only_p95,1246,3072,246303.2,2456.3,1289418,246303.2,4497,256185.1,469849.4297,,177388.8,18723.5,-1,184821.6,1539,30317,82557.98,90579.75539
bytes_orig_only_p05,58,180,92.8,58,1289418,92.8,91.2,184284.4,487318.1136,,144,58,-1,136,1539,2041,783.6,936.3029958
bytes_orig_only_p01,52.72,84.51,74.88,58,1289418,74.88,82.24,184263.6043,487327.282,,72,58,-1,72,1539,1704,689,853.267836
bytes_resp_only_mean,15028.7037,38602.19295,946.1560811,14333.70186,-1,945.0310811,-1,13971.15714,15388.8627,,2531.565934,18844.86842,565248,2585.358904,-1,387547.0688,195351.3724,264223.1351
bytes_resp_only_std,75970.77442,585428.7413,9563.469027,119938.1456,-1,9560.960735,-1,160092.4182,242341.9529,,21559.11762,65671.66475,nan,21538.20435,-1,18929057.16,4759456.536,9446423.312
bytes_resp_only_median,197,148,140,301,-1,140,-1,185.2,68.95433271,,140,270.5,565248,140,-1,33841,119927.9,249367.7611
bytes_resp_only_p99,292855.02,1921.6,9343.63,163484.2,-1,9343.63,-1,95389.616,129589.3047,,27879.64,294698.94,565248,29735.56,-1,33841,190280.628,238812.6205
bytes_resp_only_p95,1564.4,493,2757.7,15428,-1,2757.7,-1,4600.16,6126.092531,,2571,77887.1,565248,2571,-1,33841,136423.62,241698.7354
bytes_resp_only_p05,35.7,136,52,60,-1,52,-1,67.14,39.49554405,,52,63,565248,52,-1,33841,119851.2,249413.7995
bytes_resp_only_p01,6.98,96,42,24,-1,42,-1,42.196,33.4148482,,42,57.33,565248,42,-1,11262,115330.266,251558.5368
packets_orig_total,73233,9667,2886,36627,16,2888,1352,18095.57143,27460.3049,,939,1695,0,807,317,19485061,3248136.5,7954436.025
packets_resp_total,535909,3365,6676,3991,7,6690,1054,79670.28571,201198.3526,,1724,3881,4,1866,263,20501373,3418185.167,8369018.789
packets_ratio,0.136651932,2.872808321,0.432294787,9.177399148,2.285714285,0.431689088,1.282732448,2.374184287,3.16970624,,0.544663573,0.436743107,0,0.432475884,1.205323194,0.950427125,0.594938814,0.425873434
packets_bidirectional_mean,1.026247739,1.215397593,1.454086776,6.740364552,-1,1.454095623,1,2.148365381,2.258265246,,1.593069945,44.20436508,-1,1.592950882,1,13.06959835,12.29199685,18.54352801
packets_bidirectional_std,0.163800724,1.487780904,3.49668199,24.90332573,-1,3.496678668,0,5.591378003,9.584241796,,1.924467057,89.50985743,-1,1.924563515,0,71.11538061,32.89485372,43.7791687
packets_bidirectional_median,1,1,0.25,0.2,-1,0.25,1,0.616666667,0.42031734,,0.333333333,13.55555556,-1,0.333333333,1,0.009174312,3.046279307,5.885921864
packets_bidirectional_p99,1.601721981,6.314488916,13.5,96.62487273,-1,13.5,1,22.0901806,36.92275136,,7.04,232.98,-1,7.04,1,409.52,131.516,184.1223389
packets_bidirectional_p95,1.333333333,1.465909091,10,14.64,-1,10,1,6.406540404,5.882069492,,3.9,180.9,-1,3.9,1,0.083333333,37.95666667,79.92605054
packets_bidirectional_p05,0.857142857,0.5,0.016190719,0.050263158,-1,0.016190719,1,0.406631242,0.446240011,,0.040086207,2,-1,0.040086207,1,0.008849558,0.617804394,0.879613662
packets_bidirectional_p01,0.6,0.014757576,0.012590639,0.0422,-1,0.012590639,1,0.280356476,0.42207041,,0.018145992,2,-1,0.018145992,1,0.008695652,0.608997527,0.886896869
packets_orig_only_mean,2.160305344,2.067722076,3.988313856,3.995365006,16,3.986644407,2.811320755,5.001381635,4.924633877,,4.251336898,4.214285714,-1,3.583783784,1.928571429,215.3247419,45.86054394,94.73805198
packets_orig_only_std,25.21905483,21.64274155,33.26122709,50.6616315,nan,33.2599444,7.460516014,28.5841859,14.40047376,,14.42838957,28.38667609,-1,11.02638913,4.913538149,180.4901488,47.84902835,74.64708997
packets_orig_only_median,1,1,1,1,16,1,1,3.142857143,5.669467095,,1,1,-1,1,1,74,15.6,32.64659247
packets_orig_only_p99,7,8,60.14,23.04,16,60.14,19.9,27.74571429,22.87909589,,77.84,43.21,-1,65.24,19.98,440,129.254,175.1061429
packets_orig_only_p95,4,4,4,2,16,4,11.75,6.535714286,5.213021699,,18.7,10,-1,17.2,1,423,93.98,184.0613539
packets_orig_only_p05,1,1,1,1,16,1,1,3.142857143,5.669467095,,1,1,-1,1,1,27,6.2,11.62755348
packets_orig_only_p01,1,1,1,1,16,1,1,3.142857143,5.669467095,,1,1,-1,1,1,22,5.2,9.391485505
packets_resp_only_mean,1.107545193,1.226600985,2.630594522,2.7928,1,2.631262525,-1,1.898133871,0.866837359,,2.260340633,14.2398524,1.333333333,2.555825243,-1,104.8297361,25.04381753,44.91520382
packets_resp_only_std,8.173481783,3.082667998,8.940935076,27.17807915,0,8.991843337,-1,9.394501225,9.446801364,,10.84583134,197.1192477,0.577350269,12.33787475,-1,13.34174891,46.84441059,84.16084987
packets_resp_only_median,1,1,1,1,1,1,-1,1,0,,1,1,1,1,-1,108,22.4,47.85185472
packets_resp_only_p99,2,2,34,13,1,34,-1,14.33333333,15.85770055,,22.9,21.7,1.98,23,-1,113,36.516,43.67530515
packets_resp_only_p95,1,2,10,2,1,10,-1,4.333333333,4.412104562,,5,4,1.9,6,-1,112,25.78,48.22231848
packets_resp_only_p05,1,1,1,1,1,1,-1,1,0,,1,1,1,1,-1,86,18,38.01315562
packets_resp_only_p01,1,1,1,1,1,1,-1,1,0,,1,1,1,1,-1,42,9.2,18.33575742
